datetime,timestamp,open,high,low,close,volume
2025-05-20 19:00:00,1747767600,0.7259,0.7417,0.7252,0.7398,1401946.52474845
2025-05-20 20:00:00,1747771200,0.7398,0.7467,0.7363,0.7436,1959678.5727856199
2025-05-20 21:00:00,1747774800,0.7436,0.7481,0.7388,0.7456,1580197.54986097
2025-05-20 22:00:00,1747778400,0.7457,0.7479,0.7399,0.7443,818390.17233837
2025-05-20 23:00:00,1747782000,0.7444,0.7502,0.743,0.7463,2035798.9994555602
2025-05-21 00:00:00,1747785600,0.7461,0.7495,0.7418,0.7432,1069003.0422874899
2025-05-21 01:00:00,1747789200,0.7433,0.7473,0.7412,0.7421,427655.21645858
2025-05-21 02:00:00,1747792800,0.7421,0.747,0.7369,0.7466,1071147.01687132
2025-05-21 03:00:00,1747796400,0.747,0.755,0.747,0.7521,1406452.34083962
2025-05-21 04:00:00,1747800000,0.752,0.7607,0.7516,0.756,2048632.68436614
2025-05-21 05:00:00,1747803600,0.7559,0.7638,0.7559,0.7604,1550569.46318004
2025-05-21 06:00:00,1747807200,0.7605,0.7669,0.7575,0.7642,939875.95835096
2025-05-21 07:00:00,1747810800,0.7641,0.7659,0.751,0.7532,1621958.59709643
2025-05-21 08:00:00,1747814400,0.7532,0.757,0.7507,0.7507,551330.14900537
2025-05-21 09:00:00,1747818000,0.7508,0.7517,0.7456,0.7471,733004.25174133
2025-05-21 10:00:00,1747821600,0.7469,0.7576,0.7451,0.7568,662587.66085957
2025-05-21 11:00:00,1747825200,0.7567,0.7643,0.7545,0.7555,1469106.35780387
2025-05-21 12:00:00,1747828800,0.7558,0.7592,0.7517,0.7533,912158.58499352
2025-05-21 13:00:00,1747832400,0.7533,0.7598,0.7484,0.7566,2004146.68300248
2025-05-21 14:00:00,1747836000,0.7567,0.7663,0.7529,0.7662,1693857.69962001
2025-05-21 15:00:00,1747839600,0.766,0.7688,0.7596,0.766,4603250.45395175
2025-05-21 16:00:00,1747843200,0.7659,0.7843,0.763,0.7768,4892710.75569951
2025-05-21 17:00:00,1747846800,0.7768,0.7789,0.7427,0.7484,5801546.44260046
2025-05-21 18:00:00,1747850400,0.7486,0.7598,0.7453,0.7519,2654497.49664903
2025-05-21 19:00:00,1747854000,0.7518,0.7627,0.749,0.7614,2290300.85861957
2025-05-21 20:00:00,1747857600,0.7614,0.7637,0.7578,0.7628,1262278.48462606
2025-05-21 21:00:00,1747861200,0.7628,0.7647,0.7578,0.758,686845.2352243
2025-05-21 22:00:00,1747864800,0.758,0.7739,0.7575,0.7714,1781773.21024422
2025-05-21 23:00:00,1747868400,0.7711,0.7789,0.7669,0.7694,3595622.9902374
2025-05-22 00:00:00,1747872000,0.7697,0.7773,0.7688,0.7768,1246540.06305161
2025-05-22 01:00:00,1747875600,0.777,0.7797,0.7705,0.7726,1950209.66877232
2025-05-22 02:00:00,1747879200,0.7726,0.7838,0.7723,0.781,1641050.65291159
2025-05-22 03:00:00,1747882800,0.7811,0.7923,0.7786,0.7886,3246150.72804887
2025-05-22 04:00:00,1747886400,0.7888,0.7932,0.7867,0.7927,2136663.94436001
2025-05-22 05:00:00,1747890000,0.793,0.7949,0.7835,0.7838,1098399.48001323
2025-05-22 06:00:00,1747893600,0.7841,0.7902,0.7834,0.7868,1315826.11144746
2025-05-22 07:00:00,1747897200,0.787,0.7943,0.7851,0.7942,1334365.02226767
2025-05-22 08:00:00,1747900800,0.7943,0.8019,0.7928,0.7998,1779925.55747239
2025-05-22 09:00:00,1747904400,0.7997,0.8106,0.7986,0.8027,2108908.42942663
2025-05-22 10:00:00,1747908000,0.803,0.804,0.7974,0.7989,1995123.34823151
2025-05-22 11:00:00,1747911600,0.7989,0.8063,0.7962,0.8025,1027445.08831863
2025-05-22 12:00:00,1747915200,0.8027,0.8088,0.8006,0.8051,2187209.56789494
2025-05-22 13:00:00,1747918800,0.8051,0.8054,0.7953,0.7975,1896169.95779521
2025-05-22 14:00:00,1747922400,0.7978,0.8088,0.7972,0.8027,2535512.96979986
2025-05-22 15:00:00,1747926000,0.8028,0.805,0.8021,0.8035,1818714.32143641
2025-05-22 16:00:00,1747929600,0.8036,0.809,0.8,0.802,2311342.85966697
2025-05-22 17:00:00,1747933200,0.802,0.8064,0.8003,0.8047,1107714.34437194
2025-05-22 18:00:00,1747936800,0.8045,0.8083,0.8011,0.8057,1721882.89759247
2025-05-22 19:00:00,1747940400,0.8057,0.8064,0.7995,0.8021,1541802.7367107
2025-05-22 20:00:00,1747944000,0.8021,0.8054,0.7995,0.8007,1140584.69029122
2025-05-22 21:00:00,1747947600,0.8005,0.8027,0.7976,0.801,1467083.60816717
2025-05-22 22:00:00,1747951200,0.801,0.8069,0.801,0.8026,2109259.6753870402
2025-05-22 23:00:00,1747954800,0.8027,0.8094,0.8027,0.8093,1840266.30378399
2025-05-23 00:00:00,1747958400,0.8094,0.8143,0.8068,0.8112,2571355.33769035
2025-05-23 01:00:00,1747962000,0.8112,0.8194,0.8072,0.8164,2059984.6034499
2025-05-23 02:00:00,1747965600,0.8165,0.8317,0.8152,0.8265,3857519.95769981
2025-05-23 03:00:00,1747969200,0.8264,0.8393,0.8251,0.838,2458018.10354948
2025-05-23 04:00:00,1747972800,0.8379,0.8413,0.8166,0.8286,4738587.06294892
2025-05-23 05:00:00,1747976400,0.8284,0.8297,0.8179,0.8223,1429403.43381174
2025-05-23 06:00:00,1747980000,0.8222,0.8245,0.8037,0.8074,2605921.7710487
2025-05-23 07:00:00,1747983600,0.8075,0.8162,0.8057,0.8085,1402774.15017593
2025-05-23 08:00:00,1747987200,0.8085,0.8184,0.8082,0.8169,763678.15783681
2025-05-23 09:00:00,1747990800,0.8166,0.825,0.8145,0.8228,1117240.6795582399
2025-05-23 10:00:00,1747994400,0.8229,0.8234,0.8133,0.8161,1184807.85417244
2025-05-23 11:00:00,1747998000,0.8162,0.8162,0.7775,0.7817,6376454.99890763
2025-05-23 12:00:00,1748001600,0.7818,0.7822,0.7602,0.7737,7752735.93805986
2025-05-23 13:00:00,1748005200,0.7738,0.7874,0.7682,0.7868,6741429.63021924
2025-05-23 14:00:00,1748008800,0.7868,0.7908,0.7832,0.7861,2496221.94356361
