symbol,side,order_type,time_in_force,original_quantity,price,average_price,order_status,usd_size
BTC,BUY,LIMIT,IOC,1.64900000,102643.55,102194.84,FILLED,169259.21
ETH,BUY,LIMIT,IOC,30.00000000,3918.99,3901.73,FILLED,117569.70
ETHUSDC,BUY,LIMIT,IOC,26.81300000,3920.62,3905.73,FILLED,105123.58
BTCUSDC,BUY,LIMIT,IOC,2.08100000,102739.00,102275.50,FILLED,213799.86
SOL,BUY,LIMIT,IOC,645.00000000,235.92,234.69,FILLED,152166.27
SUI,BUY,LIMIT,IOC,51102.20000000,3.93,3.88,FILLED,200815.40
SOL,BUY,LIMIT,IOC,860.00000000,236.89,235.02,FILLED,203724.97
1000PEPE,BUY,LIMIT,IOC,9800000.00000000,0.02,0.02,FILLED,211436.96
DOGE,BUY,LIMIT,IOC,400000.00000000,0.44,0.43,FILLED,175232.40
SOL,BUY,LIMIT,IOC,5500.00000000,238.21,235.30,FILLED,1310173.15
BTC,BUY,LIMIT,IOC,2.82100000,103509.70,103200.05,FILLED,292000.86
ETH,BUY,LIMIT,IOC,182.60000000,3918.75,3899.98,FILLED,715563.75
DOGE,BUY,LIMIT,IOC,264509.00000000,0.45,0.44,FILLED,117907.53
SOL,BUY,LIMIT,IOC,844.00000000,240.60,238.80,FILLED,203062.35
ETH,SELL,LIMIT,IOC,34.00000000,3832.86,3850.12,FILLED,130317.24
DOGE,SELL,LIMIT,IOC,297194.00000000,0.43,0.44,FILLED,128937.02
ETH,BUY,LIMIT,IOC,33.74500000,3888.19,3872.35,FILLED,131206.97
RENDER,SELL,LIMIT,IOC,11080.50000000,10.18,10.36,FILLED,112813.25
1000PEPE,BUY,LIMIT,IOC,7914889.00000000,0.02,0.02,FILLED,174663.40
BTC,BUY,LIMIT,IOC,3.01600000,103841.03,103353.74,FILLED,313184.55
SUI,SELL,LIMIT,IOC,28208.90000000,3.70,3.75,FILLED,104432.87
DOGE,SELL,LIMIT,IOC,1033743.00000000,0.44,0.45,FILLED,458323.40
DOGE,SELL,LIMIT,IOC,754310.00000000,0.44,0.44,FILLED,331553.19
BTC,SELL,LIMIT,IOC,5.79800000,101582.25,102057.20,FILLED,588973.89
BTC,SELL,LIMIT,IOC,5.84100000,101361.95,101860.21,FILLED,592055.15
BTCUSDC,SELL,LIMIT,IOC,1.21200000,101508.70,101977.40,FILLED,123028.54
BTC,SELL,LIMIT,IOC,1.00000000,101198.45,101650.50,FILLED,101198.45
SOL,SELL,LIMIT,IOC,1999.00000000,229.92,232.04,FILLED,459607.68
MOODENG,BUY,LIMIT,IOC,292395.00000000,0.54,0.53,FILLED,156854.74
1000PEPE,SELL,LIMIT,IOC,5377564.00000000,0.03,0.03,FILLED,137057.97
DOGE,BUY,LIMIT,IOC,334011.00000000,0.49,0.48,FILLED,163077.20
NEAR,SELL,LIMIT,IOC,14301.00000000,7.55,7.65,FILLED,107933.94
1000PEPE,SELL,LIMIT,IOC,5642760.00000000,0.03,0.03,FILLED,144950.65
ENA,SELL,LIMIT,IOC,154965.00000000,0.99,1.00,FILLED,153222.14
TIA,SELL,LIMIT,IOC,18101.00000000,8.17,8.30,FILLED,147856.90
ETH,SELL,LIMIT,IOC,150.04400000,3959.18,3978.12,FILLED,594051.20
APE,SELL,LIMIT,IOC,60939.00000000,1.82,1.84,FILLED,110939.45
ETH,SELL,LIMIT,IOC,95.55200000,3954.48,3973.01,FILLED,377858.47
SUI,SELL,LIMIT,IOC,24214.60000000,4.21,4.26,FILLED,101822.73
DOGE,SELL,LIMIT,IOC,1576117.00000000,0.46,0.47,FILLED,726602.55
NEIRO,SELL,LIMIT,IOC,79563408.00000000,0.00,0.00,FILLED,151780.73
1000PEPE,BUY,LIMIT,IOC,4378574.00000000,0.03,0.03,FILLED,110386.04
BTC,BUY,LIMIT,IOC,3.39600000,96920.18,96472.01,FILLED,329140.93
AVAX,BUY,LIMIT,IOC,3472.00000000,44.06,43.79,FILLED,152977.36
WIF,BUY,LIMIT,IOC,42026.40000000,2.95,2.92,FILLED,123798.38
APE,BUY,LIMIT,IOC,83528.00000000,1.43,1.42,FILLED,119453.39
SOL,BUY,LIMIT,IOC,475.00000000,218.55,217.47,FILLED,103811.82
ETH,SELL,LIMIT,IOC,49.71800000,3676.44,3690.40,FILLED,182785.24
1000PEPE,BUY,LIMIT,IOC,7348518.00000000,0.03,0.03,FILLED,198875.88
1000PEPE,SELL,LIMIT,IOC,4194598.00000000,0.03,0.03,FILLED,110995.77
ETH,BUY,LIMIT,IOC,33.25800000,3726.75,3711.23,FILLED,123944.25
ETH,BUY,LIMIT,IOC,175.92900000,3731.63,3710.09,FILLED,656501.93
ADA,BUY,LIMIT,IOC,151256.00000000,1.02,1.01,FILLED,154423.30
SOL,BUY,LIMIT,IOC,1036.00000000,219.49,217.84,FILLED,227388.64
TROY,BUY,LIMIT,IOC,25536835.00000000,0.00,0.00,FILLED,104274.56
1000PEPE,BUY,LIMIT,IOC,8480505.00000000,0.03,0.03,FILLED,223139.90
1000PEPE,SELL,LIMIT,IOC,7600036.00000000,0.03,0.03,FILLED,194773.72
BTC,BUY,LIMIT,IOC,1.09000000,98546.70,98120.70,FILLED,107415.90
WIF,SELL,LIMIT,IOC,65479.80000000,2.99,3.03,FILLED,195815.71
1000PEPE,SELL,LIMIT,IOC,6000000.00000000,0.02,0.02,FILLED,146697.60
ETH,SELL,LIMIT,IOC,28.91400000,3721.82,3737.71,FILLED,107612.70
1000PEPE,SELL,LIMIT,IOC,11554975.00000000,0.02,0.02,FILLED,278298.11
1000PEPE,SELL,LIMIT,IOC,5517080.00000000,0.02,0.02,FILLED,132671.98
NEIRO,SELL,LIMIT,IOC,92485549.00000000,0.00,0.00,FILLED,155992.60
DOGE,SELL,LIMIT,IOC,1562397.00000000,0.40,0.41,FILLED,628557.00
BTC,SELL,LIMIT,IOC,11.00000000,97267.49,97725.28,FILLED,1069942.39
ETH,SELL,LIMIT,IOC,39.48300000,3711.37,3728.07,FILLED,146536.02
DOGE,SELL,LIMIT,IOC,533051.00000000,0.40,0.40,FILLED,213365.92
DOGE,SELL,LIMIT,IOC,364907.00000000,0.40,0.40,FILLED,145764.29
APT,SELL,LIMIT,IOC,13711.30000000,11.53,11.70,FILLED,158062.22
ETH,SELL,LIMIT,IOC,164.46600000,3705.28,3722.70,FILLED,609392.58
AVAX,SELL,LIMIT,IOC,3605.00000000,44.24,44.72,FILLED,159491.33
1000SHIB,SELL,LIMIT,IOC,5303677.00000000,0.03,0.03,FILLED,138473.70
XRP,SELL,LIMIT,IOC,63250.20000000,2.15,2.17,FILLED,135912.03
1000PEPE,SELL,LIMIT,IOC,11342239.00000000,0.02,0.02,FILLED,267496.50
ETH,SELL,LIMIT,IOC,53.00000000,3692.36,3709.75,FILLED,195695.08
1MBABYDOGE,SELL,LIMIT,IOC,54105650.00000000,0.00,0.01,FILLED,268299.10
DOGE,SELL,LIMIT,IOC,539229.00000000,0.39,0.40,FILLED,212834.23
BTC,SELL,LIMIT,IOC,1.04200000,96308.44,96732.70,FILLED,100353.39
BTC,SELL,LIMIT,IOC,7.92800000,96178.29,96695.04,FILLED,762501.48
BTC,SELL,LIMIT,IOC,1.54600000,95915.87,96332.11,FILLED,148285.94
POL,SELL,LIMIT,IOC,791759.00000000,0.54,0.55,FILLED,426987.00
SOL,SELL,LIMIT,IOC,2491.00000000,208.27,209.97,FILLED,518810.28
DOGE,SELL,LIMIT,IOC,862928.00000000,0.39,0.39,FILLED,333337.01
DOGE,SELL,LIMIT,IOC,545890.00000000,0.39,0.39,FILLED,210585.26
XRP,SELL,LIMIT,IOC,62977.50000000,2.07,2.09,FILLED,130319.34
SUI,SELL,LIMIT,IOC,49216.20000000,3.55,3.60,FILLED,174694.58
ETHUSDC,SELL,LIMIT,IOC,30.21100000,3640.00,3655.61,FILLED,109968.04
LISTA,SELL,LIMIT,IOC,406502.00000000,0.48,0.50,FILLED,193980.36
MASK,SELL,LIMIT,IOC,117194.00000000,3.11,3.18,FILLED,364719.45
NULS,SELL,LIMIT,IOC,248222.00000000,0.44,0.45,FILLED,108383.83
1000PEPE,SELL,LIMIT,IOC,5387819.00000000,0.02,0.02,FILLED,121819.13
1000SHIB,SELL,LIMIT,IOC,5528527.00000000,0.03,0.03,FILLED,139683.76
ATOM,SELL,LIMIT,IOC,26318.69000000,7.82,7.87,FILLED,205917.43
ETH,SELL,LIMIT,IOC,39.79000000,3623.80,3640.79,FILLED,144191.00
SEI,SELL,LIMIT,IOC,275994.00000000,0.52,0.53,FILLED,143340.16
ETH,SELL,LIMIT,IOC,52.32500000,3603.64,3620.02,FILLED,188560.46
ETH,SELL,LIMIT,IOC,819.28300000,3597.32,3618.40,FILLED,2947223.12
DOGE,BUY,LIMIT,IOC,479589.00000000,0.40,0.40,FILLED,191514.75
ETH,SELL,LIMIT,IOC,189.00000000,3638.25,3656.62,FILLED,687629.25
ETH,SELL,LIMIT,IOC,33.98600000,3622.33,3639.35,FILLED,123108.51
ETH,BUY,LIMIT,IOC,29.09400000,3716.08,3703.04,FILLED,108115.63
ATOM,BUY,LIMIT,IOC,12776.22000000,8.37,8.27,FILLED,106949.74
BTC,SELL,LIMIT,IOC,2.10300000,96097.82,96550.20,FILLED,202093.72
ALGO,SELL,LIMIT,IOC,280000.00000000,0.41,0.42,FILLED,116060.00
DOGE,BUY,LIMIT,IOC,304626.00000000,0.38,0.38,FILLED,117104.33
BTC,BUY,LIMIT,IOC,1.05200000,96008.66,95625.00,FILLED,101001.11
XRP,BUY,LIMIT,IOC,77642.20000000,2.08,2.06,FILLED,161340.49
BTC,BUY,LIMIT,IOC,1.05100000,96214.81,95789.60,FILLED,101121.77
ETH,BUY,LIMIT,IOC,51.53100000,3630.17,3613.67,FILLED,187066.29
BTC,BUY,LIMIT,IOC,14.52400000,96396.33,95896.21,FILLED,1400060.30
SOL,BUY,LIMIT,IOC,609.00000000,213.60,212.21,FILLED,130084.78
XRP,BUY,LIMIT,IOC,80000.00000000,2.11,2.09,FILLED,168768.00
1000PEPE,BUY,LIMIT,IOC,5168626.00000000,0.02,0.02,FILLED,124313.21
XRP,BUY,LIMIT,IOC,117671.70000000,2.29,2.27,FILLED,269221.08
XRP,BUY,LIMIT,IOC,53247.70000000,2.29,2.27,FILLED,121841.39
ETH,SELL,LIMIT,IOC,53.02800000,3577.42,3593.63,FILLED,189703.43
BTC,SELL,LIMIT,IOC,4.98200000,95547.20,96005.45,FILLED,476016.15
BTC,BUY,LIMIT,IOC,2.00000000,96779.95,96338.80,FILLED,193559.90
XRP,SELL,LIMIT,IOC,58564.30000000,2.27,2.29,FILLED,132858.97
DOGE,SELL,LIMIT,IOC,403311.00000000,0.38,0.38,FILLED,153447.33
1000SHIB,SELL,LIMIT,IOC,5472255.00000000,0.03,0.03,FILLED,142492.05
BTC,SELL,LIMIT,IOC,3.00000000,95900.76,96321.32,FILLED,287702.28
DOGE,SELL,LIMIT,IOC,762387.00000000,0.38,0.38,FILLED,287053.19
GALA,SELL,LIMIT,IOC,2989060.00000000,0.04,0.04,FILLED,130083.89
BTC,SELL,LIMIT,IOC,2.46000000,95608.94,96050.68,FILLED,235197.99
