param_rsi_oversold_threshold,param_rsi_overbought_threshold,param_stop_atr_multiplier,param_take_profit_atr_multiplier,param_max_bb_width,param_min_rel_volume,param_trend_filter_enabled,param_macd_filter_enabled,param_support_resistance_filter,stat_total_trades,stat_winning_trades,stat_win_rate,stat_profit_factor,stat_total_return,stat_total_return_pct,stat_max_drawdown_pct,stat_avg_trade,stat_sharpe_ratio
35,75,2.0,2.0,0.2,1.2,True,True,True,5,4,80.0,3.9067822482145336,276.9693151828451,2.769693151828451,0.0,60.385315600565356,0.26221381267325494
25,75,2.5,4.0,0.2,1.2,True,True,True,5,3,60.0,2.3390798797946633,259.05230067998855,2.5905230067998852,1.0468315721086863,55.82615723916198,0.1765529884797982
30,75,2.5,4.0,0.2,1.2,True,True,True,5,3,60.0,2.3390798797946633,259.05230067998855,2.5905230067998852,1.0468315721086863,55.82615723916198,0.1765529884797982
35,75,2.5,4.0,0.2,1.2,True,True,True,5,3,60.0,2.3390798797946633,259.05230067998855,2.5905230067998852,1.0468315721086863,55.82615723916198,0.1765529884797982
25,70,3.0,5.0,0.2,1.2,True,True,True,8,4,50.0,1.6378902941653437,228.02084892074708,2.280208489207471,1.0396789949590919,32.8310212075522,0.1263420097175109
30,70,3.0,5.0,0.2,1.2,True,True,True,8,4,50.0,1.6378902941653437,228.02084892074708,2.280208489207471,1.0396789949590919,32.8310212075522,0.1263420097175109
35,70,3.0,5.0,0.2,1.2,True,True,True,8,4,50.0,1.6378902941653437,228.02084892074708,2.280208489207471,1.0396789949590919,32.8310212075522,0.1263420097175109
25,75,2.5,2.0,0.2,1.2,True,True,True,5,4,80.0,3.1401159041407807,200.71749308617655,2.0071749308617655,0.0,44.123592516845655,0.22542611570941143
30,75,2.5,2.0,0.2,1.2,True,True,True,5,4,80.0,3.1401159041407807,200.71749308617655,2.0071749308617655,0.0,44.123592516845655,0.22542611570941143
35,75,2.5,2.0,0.2,1.2,True,True,True,5,4,80.0,3.1401159041407807,200.71749308617655,2.0071749308617655,0.0,44.123592516845655,0.22542611570941143
25,75,1.5,4.0,0.2,1.2,True,True,True,5,2,40.0,1.7401908981403864,194.0343465182832,1.9403434651828322,1.0773859535144776,45.481114577302094,0.10183413641980653
30,75,1.5,4.0,0.2,1.2,True,True,True,5,2,40.0,1.7401908981403864,194.0343465182832,1.9403434651828322,1.0773859535144776,45.481114577302094,0.10183413641980653
35,75,1.5,4.0,0.2,1.2,True,True,True,5,2,40.0,1.7401908981403864,194.0343465182832,1.9403434651828322,1.0773859535144776,45.481114577302094,0.10183413641980653
25,75,3.0,4.0,0.2,1.2,True,True,True,5,3,60.0,1.9591546080720081,181.72668931748376,1.8172668931748377,1.039192976757223,39.68105940544051,0.14288026109837193
30,75,3.0,4.0,0.2,1.2,True,True,True,5,3,60.0,1.9591546080720081,181.72668931748376,1.8172668931748377,1.039192976757223,39.68105940544051,0.14288026109837193
35,75,3.0,4.0,0.2,1.2,True,True,True,5,3,60.0,1.9591546080720081,181.72668931748376,1.8172668931748377,1.039192976757223,39.68105940544051,0.14288026109837193
25,75,2.0,5.0,0.2,1.2,True,True,True,5,2,40.0,1.633396116734361,169.27401917987663,1.6927401917987663,1.0582894651358552,38.84767632250906,0.09381362977599526
30,75,2.0,5.0,0.2,1.2,True,True,True,5,2,40.0,1.633396116734361,169.27401917987663,1.6927401917987663,1.0582894651358552,38.84767632250906,0.09381362977599526
35,75,2.0,5.0,0.2,1.2,True,True,True,5,2,40.0,1.633396116734361,169.27401917987663,1.6927401917987663,1.0582894651358552,38.84767632250906,0.09381362977599526
25,75,1.5,2.0,0.2,1.2,True,True,True,5,3,60.0,1.9770495927463818,165.0369780318888,1.6503697803188877,1.0567837363091348,39.621016888531,0.1307883846785549
30,75,1.5,2.0,0.2,1.2,True,True,True,5,3,60.0,1.9770495927463818,165.0369780318888,1.6503697803188877,1.0567837363091348,39.621016888531,0.1307883846785549
35,75,1.5,2.0,0.2,1.2,True,True,True,5,3,60.0,1.9770495927463818,165.0369780318888,1.6503697803188877,1.0567837363091348,39.621016888531,0.1307883846785549
25,75,3.0,2.0,0.2,1.2,True,True,True,5,4,80.0,2.6249758711251854,150.11663973322902,1.5011663973322902,0.0,33.33395538972145,0.19098165032281866
30,75,3.0,2.0,0.2,1.2,True,True,True,5,4,80.0,2.6249758711251854,150.11663973322902,1.5011663973322902,0.0,33.33395538972145,0.19098165032281866
35,75,3.0,2.0,0.2,1.2,True,True,True,5,4,80.0,2.6249758711251854,150.11663973322902,1.5011663973322902,0.0,33.33395538972145,0.19098165032281866
25,75,2.5,5.0,0.2,1.2,True,True,True,5,2,40.0,1.3119747004444244,75.14330460894234,0.7514330460894235,1.0468315721086958,19.0125440739449,0.05090251267967957
30,75,2.5,5.0,0.2,1.2,True,True,True,5,2,40.0,1.3119747004444244,75.14330460894234,0.7514330460894235,1.0468315721086958,19.0125440739449,0.05090251267967957
35,75,2.5,5.0,0.2,1.2,True,True,True,5,2,40.0,1.3119747004444244,75.14330460894234,0.7514330460894235,1.0468315721086958,19.0125440739449,0.05090251267967957
25,75,3.0,5.0,0.2,1.2,True,True,True,5,2,40.0,1.096246301560708,12.615649519635554,0.12615649519635552,1.0391929767572414,5.840584467373401,0.012115934558110261
30,75,3.0,5.0,0.2,1.2,True,True,True,5,2,40.0,1.096246301560708,12.615649519635554,0.12615649519635552,1.0391929767572414,5.840584467373401,0.012115934558110261
35,75,3.0,5.0,0.2,1.2,True,True,True,5,2,40.0,1.096246301560708,12.615649519635554,0.12615649519635552,1.0391929767572414,5.840584467373401,0.012115934558110261
